,날짜,번호,앨범번호,앨범이름,가수,가수번호,노래제목,장르,좋아요,태그,멜론DJ,플레이리스트,플레이리스트_번호,플레이리스트_태그
0,20210716,4262252,2201942,Very Good,블락비 (Block B),532201,Very Good,,"64,297",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,5584641,2301463,Crazy,4minute,417985,미쳐,,"42,631",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,33067476,10519346,Black Mamba,aespa,2899555,Black Mamba,,"64,304",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,30470845,10071172,NCT #127 CHERRY BOMB - The 3rd Mini Album,NCT 127,991413,Cherry Bomb,,"83,346",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,32465071,10404130,SKZ2020,Stray Kids (스트레이 키즈),2006344,MIROH,,"15,093",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,2667293,876652,NU 예삐오,f(x),428501,NU 예삐오 (NU ABO),,"26,147",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,32893782,10483646,호랑이 (Tiger Inside),SuperM,2744752,호랑이 (Tiger Inside),,"34,612",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,30637987,10097112,LOVE YOURSELF 承 'Her',방탄소년단,672375,MIC Drop,,"223,356",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,32217921,10357878,OBSESSION - The 6th Album,EXO,724619,Obsession,,"122,221",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,32908777,10486823,Bird,김남주(에이핑크),670717,Bird,,"9,573",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,32531474,10417413,HIDEOUT: REMEMBER WHO WE ARE - SEASON1.,CRAVITY,2863902,JUMPER,,"8,888",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,32748910,10456112,Monster - The 1st Mini Album,레드벨벳-아이린&슬기,2878372,Monster,,"72,087",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,31113240,10173365,1÷χ=1 (UNDIVIDED),Wanna One (워너원),1865973,켜줘 (Light),,"134,338",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,33244575,10555397,I’m Not Cool,현아,449401,I'm Not Cool,,"38,467",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,30901347,10140200,NCT 2018 EMPATHY,NCT U,960278,BOSS,,"84,112",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,32681306,10444798,Oneiric Diary (幻想日記),IZ*ONE (아이즈원),2398653,환상동화 (Secret Story of the Swan),,"72,550",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,2621364,838454,Bang!,애프터스쿨,322666,뱅(Bang) !,,"15,992",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,31617742,10252320,WE ARE HERE - The 2nd Album Take.2,몬스타엑스,791216,Alligator,,"26,261",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,32358750,10384855,엑스엑스 (XX) OST Part.1,선미,22938,가라고 (Gotta Go),,"15,982",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,31448479,10226163,XX,MINO (송민호),742773,시발점,,"20,218",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,31372447,10214762,ARE YOU THERE? - The 2nd Album Take.1,몬스타엑스,791216,Shoot Out,,"30,784",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,2788757,978853,Hurricane Venus,보아 (BoA),2165,Hurricane Venus,,"12,378",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,31149437,10179171,Shoot Me : Youth Part 1,DAY6 (데이식스),894864,Shoot Me,,"46,552",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,31055324,10163578,I am,(여자)아이들,2137482,LATATA,,"133,283",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,32531473,10417413,HIDEOUT: REMEMBER WHO WE ARE - SEASON1.,CRAVITY,2863902,Break all the Rules,,"14,330",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,2160048,554651,Fire (Digital Single),2NE1,406712,Fire,,"23,449",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,4633162,2254734,The 2nd Mini Album '중독 (Overdose)',EXO-K,625511,중독 (Overdose),,"131,442",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,32351853,10383682,reminiscence,EVERGLOW (에버글로우),2631992,DUN DUN,,"19,798",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,32941214,10493556,THE BOYZ 5th MINI ALBUM [CHASE],더보이즈 (THE BOYZ),1816126,The Stealer,,"39,106",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,32803091,10464956,DESSERT,HYO,2137110,"DESSERT (Feat. Loopy, 소연((여자)아이들))",,"16,937",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,32393669,10391380,NCT #127 Neo Zone - The 2nd Album,NCT 127,991413,영웅 (英雄; Kick It),,"115,178",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,33447280,10600760,GUESS WHO,ITZY (있지),2622030,마.피.아. In the morning,,"56,268",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,5661710,2313837,품행제로,블락비 바스타즈,858846,품행제로,,"60,056",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,31252455,10195296,PRODUCE 48 - 30 Girls 6 Concepts,국.슈 (국프의 핫이슈),2243811,Rumor,,"60,377",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,30029182,10004707,WINGS,방탄소년단,672375,BTS Cypher 4,,"100,994",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,33515507,10614388,Last Melody,EVERGLOW (에버글로우),2631992,FIRST,,"2,913",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,33032093,10512133,Fatal Love,몬스타엑스,791216,Love Killa,,"25,462",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,31717826,10270288,KILL THIS LOVE,BLACKPINK,995169,뚜두뚜두 (DDU-DU DDU-DU) (Remix),,"17,142",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,2352749,711451,1:59PM,2PM,259822,Heartbeat,,"14,329",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,33456218,10602760,맛 (Hot Sauce) - The 1st Album,NCT DREAM,1066419,맛 (Hot Sauce),,"109,061",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,32175937,10351886,reality in BLACK,마마무 (Mamamoo),750053,HIP,,"134,683",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,32899003,10484789,HELICOPTER,CLC,839579,HELICOPTER,,"6,890",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,8304595,2703168,SQUARE ONE,BLACKPINK,995169,붐바야,,"105,984",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,32688454,10445940,GO生,Stray Kids (스트레이 키즈),2006344,神메뉴,,"24,913",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,31697634,10266745,KARD 1st Digital Single ‘밤밤(Bomb Bomb)’,카드 (KARD),1271812,밤밤(Bomb Bomb),,"9,517",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,31608591,10250805,The End of Nightmare,드림캐쳐,1284664,PIRI,,"14,672",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
0,20210716,8167307,2680573,화양연화 Young Forever,방탄소년단,672375,불타오르네 (FIRE),,"258,670",#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감,Hipster,강렬한 매운맛이 느껴지는 아이돌 노동요,493517559,#아이돌 #케이팝 #노동요 #댄스 #기분전환 #스트레스 #마라맛 #과제 #업무 #자존감
